virus	time	repID	measID	fitness	logfitness
1	0	5	9	0.9998	-8.69E-05
1	0	5	10	1.006	0.002597981
1	0	5	11	0.9753	-0.010861776
1	0	5	12	0.9514	-0.021636853
1	5	1	1	1.8649	0.270655549
1	5	1	2	1.7917	0.253265294
1	5	1	3	2.0429	0.310247108
1	5	2	1	2.5099	0.399656419
1	5	2	2	2.0494	0.311626732
1	5	2	3	1.8825	0.274734985
1	5	3	1	2.2062	0.34364488
1	5	3	2	2.2064	0.343684249
1	5	3	3	2.1463	0.331690426
1	5	4	1	2.0161	0.30451207
1	5	4	2	2.0658	0.315088273
1	5	4	3	2.2087	0.344136731
1	5	5	1	2.0181	0.304942682
1	5	5	2	1.9605	0.292366847
1	5	5	3	2.311	0.363799945
1	10	1	2	3.2383	0.51031708
1	10	1	3	2.6786	0.427907864
1	10	2	1	4.0913	0.611861326
1	10	2	2	4.4193	0.645353484
1	10	3	1	3.3418	0.523980455
1	10	3	2	3.3049	0.519158323
1	10	3	3	3.1441	0.497496351
1	10	4	1	3.5655	0.552120441
1	10	4	2	3.7712	0.576479565
1	10	4	3	3.4765	0.541142234
1	10	5	1	3.3078	0.519539243
1	10	5	2	3.7032	0.568577168
1	10	5	3	3.6725	0.564961804
1	15	1	1	4.3916	0.642622776
1	15	1	2	4.4997	0.65318356
1	15	1	3	3.5227	0.546875659
1	15	2	1	7.2503	0.860355977
1	15	2	2	7.0513	0.848269192
1	15	2	3	5.7641	0.760731507
1	15	3	1	4.884	0.688775655
1	15	3	2	5.1884	0.715033451
1	15	3	3	5.1107	0.708480388
1	15	4	1	5.0286	0.701447091
1	15	4	2	5.3716	0.730103665
1	15	4	3	6.4011	0.806254612
1	15	5	1	5.638	0.751125072
1	15	5	2	5.5793	0.746579714
1	15	5	3	7.124	0.852723911
1	20	1	1	4.3714	0.640620548
1	20	1	2	5.717	0.757168192
1	20	1	3	6.6367	0.821952187
1	20	2	1	5.3587	0.729059444
1	20	2	2	5.9158	0.772013483
1	20	3	1	6.2246	0.794111448
1	20	3	2	7.0942	0.850903428
1	20	3	3	6.8731	0.837152663
1	20	4	1	6.7311	0.828086043
1	20	4	2	8.2544	0.916685511
1	20	4	3	6.9328	0.840908672
1	20	5	1	6.5586	0.816811145
1	20	5	2	6.5817	0.818338083
1	20	5	3	6.0422	0.781195097
0	0	1	1	0.6075	-0.216453718
0	0	1	2	0.6076	-0.216382235
0	0	1	3	0.6081	-0.216024997
0	0	1	4	0.6709	-0.173342208
0	0	1	5	0.7213	-0.141884068
0	0	1	6	0.7262	-0.138943755
0	0	1	7	0.739	-0.131355562
0	0	1	8	0.7114	-0.147886139
0	0	1	9	0.668	-0.175223538
0	0	1	10	0.6387	-0.194703084
0	0	1	11	0.6392	-0.194363234
0	0	1	12	0.7478	-0.126214539
0	0	2	1	0.6075	-0.216453718
0	0	2	2	0.6076	-0.216382235
0	0	2	3	0.6081	-0.216024997
0	0	2	4	0.6709	-0.173342208
0	0	2	5	0.7213	-0.141884068
0	0	2	6	0.7262	-0.138943755
0	0	2	7	0.739	-0.131355562
0	0	2	8	0.7114	-0.147886139
0	0	2	9	0.668	-0.175223538
0	0	2	10	0.6387	-0.194703084
0	0	2	11	0.6392	-0.194363234
0	0	2	12	0.7478	-0.126214539
0	0	3	1	0.6075	-0.216453718
0	0	3	2	0.6076	-0.216382235
0	0	3	3	0.6081	-0.216024997
0	0	3	4	0.6709	-0.173342208
0	0	3	5	0.7213	-0.141884068
0	0	3	6	0.7262	-0.138943755
0	0	3	7	0.739	-0.131355562
0	0	3	8	0.7114	-0.147886139
0	0	3	9	0.668	-0.175223538
0	0	3	10	0.6387	-0.194703084
0	0	3	11	0.6392	-0.194363234
0	0	3	12	0.7478	-0.126214539
0	0	4	1	0.6075	-0.216453718
0	0	4	2	0.6076	-0.216382235
0	0	4	3	0.6081	-0.216024997
0	0	4	4	0.6709	-0.173342208
0	0	4	5	0.7213	-0.141884068
0	0	4	6	0.7262	-0.138943755
0	0	4	7	0.739	-0.131355562
0	0	4	8	0.7114	-0.147886139
0	0	4	9	0.668	-0.175223538
0	0	4	10	0.6387	-0.194703084
0	0	4	11	0.6392	-0.194363234
0	0	4	12	0.7478	-0.126214539
0	0	5	1	0.6075	-0.216453718
0	0	5	2	0.6076	-0.216382235
0	0	5	3	0.6081	-0.216024997
0	0	5	4	0.6709	-0.173342208
0	0	5	5	0.7213	-0.141884068
0	0	5	6	0.7262	-0.138943755
0	0	5	7	0.739	-0.131355562
0	0	5	8	0.7114	-0.147886139
0	0	5	9	0.668	-0.175223538
0	0	5	10	0.6387	-0.194703084
0	0	5	11	0.6392	-0.194363234
0	0	5	12	0.7478	-0.126214539
0	5	1	1	0.9909	-0.003970172
0	5	1	2	0.8903	-0.050463627
0	5	1	3	0.8665	-0.062231433
0	5	2	1	0.9663	-0.01488802
0	5	2	2	1.0245	0.010511963
0	5	2	3	0.9909	-0.003970172
0	5	3	1	1.0633	0.026655814
0	5	3	2	0.9415	-0.026179676
0	5	3	3	0.9549	-0.020042107
0	5	4	1	0.9847	-0.006696062
0	5	4	2	0.924	-0.034328029
0	5	4	3	1.0177	0.007619775
0	5	5	1	1.0026	0.0011277
0	5	5	2	1.0102	0.004407364
0	5	5	3	1.0075	0.003245055
0	10	1	2	1.57	0.195899652
0	10	1	3	1.2542	0.098366796
0	10	2	1	2.09	0.320146286
0	10	2	2	2.0328	0.308094652
0	10	2	3	1.6577	0.219505937
0	10	3	1	1.4718	0.167848799
0	10	3	2	1.4928	0.174001626
0	10	3	3	1.2941	0.111967837
0	10	4	1	1.3078	0.116541333
0	10	4	2	1.4747	0.16870368
0	10	4	3	1.3905	0.143170993
0	10	5	1	1.7407	0.240723929
0	10	5	2	1.9977	0.30053027
0	10	5	3	1.8535	0.26799259
0	15	1	1	1.8298	0.262403623
0	15	1	2	2.3276	0.366908349
0	15	1	3	1.9374	0.287219295
0	15	2	1	3.7832	0.577859301
0	15	2	2	3.804	0.580240508
0	15	2	3	3.495	0.54344718
0	15	3	1	2.9322	0.467193589
0	15	3	2	2.9699	0.472741826
0	15	3	3	2.8781	0.459105879
0	15	4	1	3.2213	0.508031173
0	15	4	2	3.797	0.579440597
0	15	4	3	3.2142	0.507072897
0	15	5	1	2.3341	0.368119459
0	15	5	2	2.5788	0.411417662
0	15	5	3	2.278	0.35755372
0	20	1	1	3.2338	0.509713157
0	20	1	2	3.4962	0.543596268
0	20	1	3	3.2498	0.511856634
0	20	2	1	5.3022	0.724456105
0	20	2	2	5.7465	0.759403411
0	20	2	3	5.4813	0.738883572
0	20	3	1	4.0633	0.608878888
0	20	3	2	5.025	0.701136066
0	20	3	3	4.5116	0.654330588
0	20	4	1	4.0147	0.603653098
0	20	4	2	3.9985	0.6018971
0	20	4	3	4.4275	0.64615857
0	20	5	1	3.5064	0.544861458
0	20	5	2	4.1109	0.613936912
0	20	5	3	3.6177	0.55843255
